"id","name"
271,"Gary Portnoy"
272,"Rihanna"
273,"Macy Gray"
274,"Dusty Springfield"
275,"John Mogensen"
276,"The Offspring"
277,"Leonard Cohen"
278,"John Grant"
279,"Kashmir"
280,"Lynyrd Skynyrd"
281,"Brødrene Olsen"
282,"Nanna Lüders"
283,"Coldplay"
284,"I Got You On Tape"
285,"Teddy Edelmand"
286,"Ed Sheeran"
287,"John Travolta - Olivia Newton John"
288,"Mariah Carey"
289,"Elvis Presley"
290,"Muse"
291,"Brix"
292,"The Beach Boys"
293,"Dolly Parton & Kenny Rogers"
294,"Boney M"
295,"Sam Smith"
296,"Neil Diamond"
297,"Ray Charles"
298,"Shocking blue"
299,"Prince & The Revolution"
300,"The Calling"
301,"Blink 182"
302,"INXS"
303,"Glen Cambell"
304,"Stevie Ray Vaughan"
305,"David Lee Roth"
306,"Chasity Hackett "
307,"Gnags"
308,"Foo fighters"
309,"Otis Redding"
310,"Woody Guthrie"
311,"Janis Joplin"
312,"Ronan Keating"
313,"Grethe & Jörgen Ingmann"
314,"Ryan Adams"
315,"Joan Osbourne"
316,"Lenny Kravitz"
317,"Pulp"
318,"The Box Tops"
319,"Talking Heads"
320,"Tommy Seebach"
321,"Emmylou Harris, Alison Krauss and Gillian Welch"
322,"Steppenwolf"
323,"Lucas Graham"
324,"Apacha"
325,"Tørfisk"
326,"Lars Lilholt"
327,"Steve Miller Band"
328,"Creedence Clearwater Revival"
329,"Rugsted & Kreutzfelt"
330,"Wet Wet Wet"
331,"De Nattergale"
332,"Jacks Terry"
333,"Lone Kellerman/Gasolin"
334,"Anne Linnet"
335,"Nice Little Penguins"
336,"Elvis"
337,"Buffalo Springfield"
338,"Foreigner"
339,"Eva Madsen"
340,"Bamses Venner"
341,"Kent"
342,"No doubt"
343,"Carole King"
344,"The Cranberries"
345,"Beck"
346,"George Michael"
347,"The the"
348,"Søren Kragh Jakobsen"
349,"Shawn Mullins"
350,"Niels Hausgaard"
351,"Danser med drenge"
352,"Afroman"
353,"Gnarls Barkley"
354,"Soggy Bottom Boys"
355,"La India"
356,"Cornershop"
357,"Eurythmics"
358,"Kiss"
359,"Primal Scream"
360,"Madonna"
361,"Tom Jones"
362,"Rasmus Walter"
363,"EmmyLou Harris"
364,"Van Morrison"
365,"Sugarhill Gang"
366,"Dalton"
367,"Louis Armstrong"
368,"Lionel Richie"
369,"Bee Gees"
370,"MC Einar"
371,"REM"
372,"Rocazino"
373,"George Ezra"
374,"Smokie"
375,"The Dandy Warhols"
376,"Chris Stapleton"
377,"Manu Chao"
378,"Alanis Morrissette"
379,"Wham"
380,"Tracy Chapman"
381,"Nickelback"
382,"Queen"
383,"Travis"
384,"MGMT"
385,"Bruno Mars"
386,"The Rumour Said Fire"
387,"Vagn & Vagabonderne"
388,"Stevie Wonder"
