"id","name","created_at","updated_at"
368,"Lionel Richie","2025-03-23 19:54:11","2025-03-23 19:54:11"
369,"Bee Gees","2025-03-23 19:54:11","2025-03-23 19:54:11"
370,"MC Einar","2025-03-23 19:54:11","2025-03-23 19:54:11"
371,"REM","2025-03-23 19:54:11","2025-03-23 19:54:11"
372,"Rocazino","2025-03-23 19:54:11","2025-03-23 19:54:11"
373,"George Ezra","2025-03-23 19:54:11","2025-03-23 19:54:11"
374,"Smokie","2025-03-23 19:54:11","2025-03-23 19:54:11"
375,"The Dandy Warhols","2025-03-23 19:54:11","2025-03-23 19:54:11"
376,"Chris Stapleton","2025-03-23 19:54:11","2025-03-23 19:54:11"
377,"Manu Chao","2025-03-23 19:54:11","2025-03-23 19:54:11"
378,"Alanis Morrissette","2025-03-23 19:54:11","2025-03-23 19:54:11"
379,"Wham","2025-03-23 19:54:11","2025-03-23 19:54:11"
380,"Tracy Chapman","2025-03-23 19:54:11","2025-03-23 19:54:11"
381,"Nickelback","2025-03-23 19:54:11","2025-03-23 19:54:11"
382,"Queen","2025-03-23 19:54:11","2025-03-23 19:54:11"
383,"Travis","2025-03-23 19:54:11","2025-03-23 19:54:11"
384,"MGMT","2025-03-23 19:54:11","2025-03-23 19:54:11"
385,"Bruno Mars","2025-03-23 19:54:11","2025-03-23 19:54:11"
386,"The Rumour Said Fire","2025-03-23 19:54:11","2025-03-23 19:54:11"
387,"Vagn & Vagabonderne","2025-03-23 19:54:11","2025-03-23 19:54:11"
388,"Stevie Wonder","2025-03-23 19:54:11","2025-03-23 19:54:11"
389,"Paul Young","2025-05-01 20:02:00","2025-05-01 20:02:00"
390,"Haddaway","2025-05-13 10:47:43","2025-05-13 10:47:43"
391,"Maroon 5","2025-05-13 10:52:46","2025-05-13 10:52:46"
392,"The Trammps","2025-05-13 10:55:33","2025-05-13 10:55:33"
393,"Erasure","2025-05-13 14:45:03","2025-05-13 14:45:03"
394,"Joe Cocker","2025-05-13 14:58:38","2025-05-13 14:58:38"
395,"Pomplamoose","2025-05-13 15:06:26","2025-05-13 15:06:26"
406,"Sofie Skovgaard","2025-05-22 11:04:28","2025-05-22 11:04:28"
407,"Annika Aakjaer","2025-05-28 16:41:24","2025-05-28 16:41:24"
